Jours , Periodes , Valeurs 
 26/04/2017,10:30 - 11:00,61925
 26/04/2017,11:00 - 11:30,61847
 26/04/2017,11:30 - 12:00,62407
 26/04/2017,12:00 - 12:30,61309
 26/04/2017,12:30 - 13:00,62065
 26/04/2017,13:00 - 13:30,59493
 26/04/2017,13:30 - 14:00,58689
 26/04/2017,14:00 - 14:30,59136
 26/04/2017,14:30 - 15:00,56840
 26/04/2017,15:00 - 15:30,56221
 26/04/2017,15:30 - 16:00,55216
 26/04/2017,16:00 - 16:30,54335
 26/04/2017,16:30 - 17:00,53579
 26/04/2017,17:00 - 17:30,53128
 26/04/2017,17:30 - 18:00,53869
 26/04/2017,18:00 - 18:30,54646
 26/04/2017,18:30 - 19:00,56128
 26/04/2017,19:00 - 19:30,55970
 26/04/2017,19:30 - 20:00,55740
 26/04/2017,20:00 - 20:30,54780
 26/04/2017,20:30 - 21:00,55741
 26/04/2017,21:00 - 21:30,55089
 26/04/2017,21:30 - 22:00,53985
 26/04/2017,22:00 - 22:30,55325
 26/04/2017,22:30 - 23:00,58326
 26/04/2017,23:00 - 23:30,58242
 26/04/2017,23:30 - 24:00,56601
 27/04/2017,0:00 - 0:30,54413
 27/04/2017,0:30 - 1:00,51919
 27/04/2017,1:00 - 1:30,52445
 27/04/2017,1:30 - 2:00,51173
 27/04/2017,2:00 - 2:30,50022
 27/04/2017,2:30 - 3:00,48509
 27/04/2017,3:00 - 3:30,47618
 27/04/2017,3:30 - 4:00,46971
 27/04/2017,4:00 - 4:30,47031
 27/04/2017,4:30 - 5:00,47310
 27/04/2017,5:00 - 5:30,48990
 27/04/2017,5:30 - 6:00,50885
 27/04/2017,6:00 - 6:30,53481
 27/04/2017,6:30 - 7:00,55207
 27/04/2017,7:00 - 7:30,57493
 27/04/2017,7:30 - 8:00,59904
 27/04/2017,8:00 - 8:30,61078
 27/04/2017,8:30 - 9:00,62126
 27/04/2017,9:00 - 9:30,62738
 27/04/2017,9:30 - 10:00,62700
 27/04/2017,10:00 - 10:30,62655
 27/04/2017,10:30 - 11:00,62337
 27/04/2017,11:00 - 11:30,62219
 27/04/2017,11:30 - 12:00,62739
 27/04/2017,12:00 - 12:30,61561
 27/04/2017,12:30 - 13:00,62263
 27/04/2017,13:00 - 13:30,59671
 27/04/2017,13:30 - 14:00,58877
 27/04/2017,14:00 - 14:30,59318
 27/04/2017,14:30 - 15:00,57013
 27/04/2017,15:00 - 15:30,56399
 27/04/2017,15:30 - 16:00,55390
 27/04/2017,16:00 - 16:30,54498
 27/04/2017,16:30 - 17:00,53734
 27/04/2017,17:00 - 17:30,53351
 27/04/2017,17:30 - 18:00,54151
 27/04/2017,18:00 - 18:30,54833
 27/04/2017,18:30 - 19:00,56238
 27/04/2017,19:00 - 19:30,55962
 27/04/2017,19:30 - 20:00,55639
 27/04/2017,20:00 - 20:30,54694
 27/04/2017,20:30 - 21:00,55645
 27/04/2017,21:00 - 21:30,55034
 27/04/2017,21:30 - 22:00,53943
 27/04/2017,22:00 - 22:30,55286
 27/04/2017,22:30 - 23:00,58296
 27/04/2017,23:00 - 23:30,58212
 27/04/2017,23:30 - 24:00,56564
